# algorithm_results.txt
# x 2155 5560 22362 50802 82402 110011 240015 264498 325462 337791
51 5.39 4.0 3.96 3.76 4.98 4.02 3.94 4.61 5.71 4.02
52 5.41 4.0 3.97 3.76 4.98 4.03 3.95 4.62 5.74 4.02
53 5.42 4.01 3.99 3.78 5.01 4.06 3.96 4.63 5.81 4.02
54 5.43 4.13 4.0 3.79 5.02 4.08 3.98 4.64 5.81 4.03
55 5.43 4.15 4.0 3.8 5.02 4.09 3.98 4.65 5.83 4.03
56 5.44 4.22 4.06 3.81 5.03 4.1 4.0 4.69 5.86 4.06
57 5.46 4.23 4.08 3.83 5.04 4.11 4.03 4.7 5.86 4.09
58 5.49 4.23 4.11 3.88 5.11 4.11 4.03 4.7 5.93 4.1
59 5.49 4.24 4.14 3.88 5.13 4.13 4.05 4.7 5.94 4.15
60 5.52 4.26 4.14 3.89 5.13 4.17 4.06 4.72 5.96 4.15
61 5.53 4.27 4.14 3.93 5.13 4.17 4.06 4.75 5.98 4.15
62 5.54 4.27 4.15 3.98 5.16 4.17 4.07 4.75 6.06 4.17
63 5.57 4.29 4.16 3.99 5.17 4.17 4.07 4.77 6.07 4.18
64 5.57 4.38 4.17 3.99 5.18 4.19 4.07 4.77 6.08 4.2
65 5.59 4.38 4.18 4.0 5.18 4.2 4.09 4.83 6.13 4.21
66 5.63 4.41 4.19 4.05 5.19 4.28 4.09 4.88 6.13 4.22
67 5.63 4.43 4.26 4.05 5.21 4.31 4.18 4.92 6.17 4.24
68 5.64 4.46 4.29 4.06 5.21 4.39 4.21 4.98 6.18 4.27
69 5.66 4.46 4.32 4.11 5.21 4.44 4.21 5.0 6.25 4.33
70 5.69 4.51 4.34 4.11 5.22 4.45 4.23 5.01 6.26 4.34
71 5.7 4.54 4.35 4.13 5.24 4.5 4.25 5.05 6.29 4.41
72 5.72 4.54 4.4 4.14 5.27 4.54 4.27 5.06 6.34 4.41
73 5.74 4.56 4.42 4.15 5.29 4.55 4.29 5.06 6.36 4.46
74 5.79 4.6 4.44 4.21 5.34 4.57 4.31 5.07 6.38 4.49
75 5.82 4.67 4.46 4.21 5.34 4.65 4.32 5.09 6.39 4.5
76 5.84 4.68 4.48 4.21 5.34 4.68 4.32 5.13 6.4 4.69
77 5.85 4.75 4.49 4.23 5.34 4.7 4.44 5.14 6.41 4.69
78 5.85 4.75 4.5 4.24 5.41 4.7 4.45 5.15 6.42 4.73
79 5.85 4.76 4.51 4.25 5.42 4.83 4.46 5.17 6.44 4.74
80 5.87 4.77 4.52 4.29 5.44 4.87 4.5 5.17 6.48 4.75
81 5.87 4.77 4.61 4.31 5.47 4.91 4.51 5.19 6.5 4.78
82 5.87 4.78 4.61 4.31 5.47 4.91 4.54 5.2 6.52 4.81
83 5.87 4.82 4.65 4.31 5.5 4.94 4.54 5.23 6.53 4.85
84 5.87 4.83 4.76 4.33 5.52 4.96 4.57 5.25 6.56 4.91
85 5.88 4.84 4.81 4.34 5.54 4.99 4.58 5.25 6.58 4.93
86 5.91 4.89 4.83 4.41 5.55 5.02 4.61 5.26 6.59 4.94
87 5.92 4.93 4.87 4.42 5.56 5.02 4.62 5.3 6.61 4.97
88 5.92 4.94 4.95 4.45 5.56 5.05 4.69 5.32 6.63 4.99
89 5.95 5.0 5.07 4.45 5.58 5.07 4.7 5.36 6.64 5.02
90 6.01 5.03 5.09 4.48 5.59 5.09 4.73 5.36 6.66 5.05
91 6.04 5.11 5.1 4.55 5.6 5.13 4.73 5.39 6.66 5.06
92 6.04 5.13 5.11 4.56 5.66 5.15 4.77 5.39 6.67 5.06
93 6.07 5.19 5.12 4.57 5.67 5.18 4.78 5.42 6.71 5.07
94 6.08 5.2 5.12 4.58 5.7 5.2 4.81 5.43 6.74 5.07
95 6.11 5.26 5.12 4.6 5.71 5.21 4.85 5.44 6.76 5.07
96 6.13 5.32 5.12 4.61 5.72 5.24 4.88 5.44 6.79 5.1
97 6.15 5.33 5.2 4.69 5.73 5.28 4.89 5.45 6.79 5.11
98 6.17 5.43 5.24 4.72 5.74 5.36 4.9 5.46 6.79 5.12
99 6.18 5.45 5.4 4.81 5.74 5.43 4.95 5.46 6.81 5.15
100 6.21 5.55 5.41 4.83 5.79 5.45 4.97 5.47 6.84 5.17
101 6.22 5.59 5.48 4.84 5.8 5.62 5.0 5.48 6.84 5.18
102 6.24 5.59 5.49 4.9 5.83 5.67 5.0 5.48 6.85 5.2
103 6.24 5.61 5.49 4.91 5.84 5.68 5.03 5.49 6.86 5.23
104 6.25 5.62 5.53 4.93 5.86 5.68 5.05 5.5 6.86 5.29
105 6.31 5.68 5.69 4.95 5.87 5.78 5.11 5.5 6.89 5.35
106 6.33 5.7 5.7 5.01 5.89 5.91 5.13 5.52 6.89 5.37
107 6.35 5.74 5.76 5.01 5.89 6.05 5.15 5.52 6.92 5.41
108 6.44 5.82 5.77 5.04 5.91 6.22 5.17 5.53 6.92 5.44
109 6.46 5.83 5.77 5.05 5.93 6.23 5.19 5.53 6.92 5.46
110 6.6 5.89 5.88 5.11 5.94 6.33 5.2 5.54 6.93 5.47
111 6.61 5.97 5.88 5.12 5.99 6.37 5.23 5.55 6.94 5.5
112 6.62 6.0 5.89 5.12 6.02 6.39 5.23 5.56 6.95 5.53
113 6.63 6.0 5.91 5.12 6.07 6.46 5.27 5.59 6.95 5.54
114 6.65 6.04 5.98 5.14 6.09 6.46 5.27 5.62 6.96 5.55
115 6.66 6.05 6.14 5.17 6.13 6.48 5.32 5.63 6.97 5.55
116 6.7 6.1 6.21 5.43 6.13 6.59 5.32 5.66 6.97 5.61
117 6.77 6.14 6.23 5.5 6.15 6.6 5.42 5.68 6.97 5.66
118 6.85 6.14 6.25 5.56 6.17 6.65 5.47 5.72 7.01 5.72
119 6.86 6.18 6.26 5.68 6.25 6.69 5.58 5.74 7.04 5.72
120 6.89 6.21 6.27 5.72 6.26 6.78 5.6 5.74 7.19 5.74
121 6.98 6.29 6.33 5.74 6.35 6.79 5.64 5.75 7.21 5.76
122 7.0 6.37 6.34 5.74 6.48 6.91 5.92 5.76 7.21 5.81
123 7.02 6.37 6.35 5.75 6.66 6.92 5.94 5.77 7.21 6.09
124 7.05 6.47 6.42 5.82 6.79 7.02 5.96 5.84 7.21 6.11
125 7.17 6.49 6.5 5.86 6.79 7.05 6.06 5.86 7.35 6.18
126 7.17 6.55 6.58 5.87 6.81 7.05 6.07 6.01 7.37 6.2
127 7.19 6.66 6.65 5.88 6.83 7.11 6.08 6.02 7.43 6.21
128 7.23 6.67 6.66 5.89 6.89 7.11 6.1 6.02 7.44 6.3
129 7.26 6.69 6.66 5.92 6.9 7.14 6.37 6.05 7.53 6.36
130 7.41 6.69 6.7 5.95 6.9 7.18 6.37 6.07 7.55 6.41
131 7.43 6.88 6.75 5.96 6.92 7.32 6.48 6.32 7.61 6.42
132 7.43 6.88 6.83 5.97 6.98 7.5 6.65 6.47 7.76 6.56
133 7.47 6.92 6.85 6.02 7.04 7.54 6.77 6.48 7.9 6.6
134 7.55 6.94 6.97 6.17 7.1 7.57 6.81 6.57 8.01 6.61
135 7.56 7.06 7.08 6.24 7.24 7.67 6.87 6.66 8.19 6.65
136 7.59 7.07 7.18 6.31 7.42 7.71 7.02 6.73 8.21 6.76
137 7.69 7.14 7.22 6.38 7.49 7.74 7.02 6.76 8.26 6.87
138 7.71 7.34 7.45 6.48 7.52 7.83 7.19 6.86 8.36 6.96
139 7.75 7.35 7.47 6.63 7.52 7.89 7.3 6.91 8.4 6.97
140 7.75 7.73 7.56 6.7 7.53 7.96 7.32 7.15 8.52 6.97
141 7.82 7.78 7.68 7.31 7.8 8.18 7.35 7.29 8.77 7.0
142 7.83 7.82 7.86 7.42 8.13 8.34 7.5 7.37 8.94 7.39
143 8.1 8.03 7.98 7.49 8.18 8.43 7.89 7.54 8.96 7.39
144 8.23 8.35 7.98 7.72 8.24 9.02 8.01 7.62 9.17 7.49
145 9.35 8.62 8.66 8.17 8.45 9.09 8.76 7.94 9.35 8.51
146 9.76 8.64 8.97 8.79 9.39 9.3 9.29 8.41 9.37 8.56
147 11.2 10.61 11.07 10.4 10.99 11.08 9.74 9.55 10.79 10.29
148 11.77 12.52 12.24 10.67 12.12 12.8 10.46 10.28 10.81 11.6
149 14.41 13.8 13.6 12.7 12.99 13.74 12.56 11.9 10.83 13.93


# onlymfcc_results.txt
# x 2155 5560 22362 50802 82402 110011 240015 264498 325462 337791
1 2.9 2.69 6.3 4.48 4.22 2.67 7.03 3.49 6.83 1.64
2 2.94 2.81 6.68 4.69 4.23 4.53 7.26 3.73 7.26 1.7
3 3.15 2.94 7.12 4.71 4.51 4.59 7.47 3.95 7.38 1.7
4 3.16 3.05 7.15 4.88 4.73 4.98 8.42 4.08 8.03 1.73
5 3.24 3.07 7.16 5.08 4.76 4.98 8.84 4.08 8.28 1.9
6 3.29 3.18 7.17 5.15 5.25 4.99 8.89 4.33 8.46 1.93
7 3.31 3.26 7.36 5.18 5.94 4.99 9.03 4.37 8.51 2.15
8 3.51 3.28 7.66 5.22 6.18 5.03 9.15 4.64 8.53 2.26
9 3.66 3.42 8.27 5.27 6.89 5.04 9.5 4.66 8.73 2.38
10 3.86 3.45 8.33 5.41 7.15 5.05 9.51 5.15 8.75 2.4
11 3.86 3.45 8.38 5.46 7.47 5.11 9.56 5.22 8.8 2.59
12 4.03 3.52 8.39 5.53 7.61 5.11 9.56 5.22 8.8 2.85
13 4.03 3.64 8.44 5.55 7.73 5.15 9.9 5.4 8.93 2.9
14 4.15 3.74 8.56 5.56 7.83 5.33 10.09 5.46 8.97 2.92
15 4.16 3.76 9.78 5.65 7.95 5.35 10.19 5.74 9.0 2.93
16 4.17 3.76 9.83 5.65 8.28 5.39 10.28 6.62 9.06 3.18
17 4.31 3.82 9.93 5.66 8.36 5.44 10.32 6.66 9.12 3.66
18 4.37 4.0 9.99 5.77 8.67 5.51 10.35 6.75 9.2 3.71
19 4.38 4.02 10.0 5.8 8.71 5.6 10.67 6.76 9.24 3.75
20 4.39 4.02 10.1 5.83 8.72 5.61 10.75 6.78 9.28 3.84
21 4.47 4.05 10.1 5.83 8.85 5.67 10.75 6.88 9.53 3.93
22 4.5 4.06 10.11 5.85 8.87 5.75 10.81 7.04 9.56 4.2
23 4.51 4.07 10.12 5.92 8.95 5.8 10.89 7.1 9.58 4.25
24 4.52 4.13 10.26 6.06 8.95 5.88 11.04 7.1 9.63 4.33
25 4.66 4.15 10.28 6.13 8.96 5.89 11.04 7.12 9.78 4.34
26 4.66 4.16 10.32 6.14 8.98 5.93 11.09 7.14 9.82 4.38
27 4.74 4.16 10.34 6.15 9.02 5.95 11.24 7.15 10.01 4.42
28 4.75 4.18 10.36 6.24 9.05 5.97 11.28 7.26 10.17 4.46
